"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"316",842,0.808408121708302,0.642792111213818,152002,"RN",0.222222222222222
"317",843,0.846406878238007,0.266313169943371,152002,"RN",0.222222222222222
"318",844,0.475530910631407,0.603412826454265,152002,"RN",0.666666666666667
"319",845,0.337164628312018,0.701148203532512,152002,"RN",0.888888888888889
"320",846,0.601262756817597,0.306305141365717,152002,"RN",0.555555555555556
"321",847,1,0.388174346084991,152002,"RN",0.444444444444444
"322",849,0.688088171794516,0.531194715972731,152002,"RN",0.555555555555556
"323",851,0.34188060394191,0.382195839530279,152002,"RN",0.555555555555556
"324",852,0.701567129744589,0.397498152108695,152002,"RN",0.333333333333333
"325",853,0.402865996335342,0.617811199177466,152002,"RN",0.444444444444444
"326",854,0.567481950287772,0.555921567406441,152002,"RN",0.555555555555556
"327",857,0.703063775090814,0.593320418444628,152002,"RN",0.777777777777778
"328",858,0.640931526477322,0.391697715939482,152002,"RN",0.222222222222222
"329",859,0.66700550283337,0.43880580593659,152002,"RN",0.222222222222222
"330",860,0.517372622222635,0.116717659817599,152002,"RN",0.555555555555556
"331",861,0.768347319718236,0.857812717200494,152002,"RN",0.555555555555556
"332",862,0.437446850800806,0.531194715972731,152002,"RN",0.333333333333333
"333",864,0.16105240974309,0.604233791561383,152002,"RN",0.555555555555556
"334",865,0.43349693750694,0.633233097416934,152002,"RN",0.333333333333333
"335",866,0.703009566485103,0.782962209796354,152002,"RN",0.333333333333333
"336",867,0.703009566485103,0.736508758295257,152002,"RN",1
"337",868,0.703009566485103,0.658771938143119,152002,"RN",0.111111111111111
"338",869,0.440401346864467,0.389191309593606,152002,"RN",0.555555555555556
"339",870,1,0.578103245497448,152002,"RN",0.444444444444444
"340",871,0.201747301538302,0.463294368019436,152002,"RN",0.555555555555556
"341",872,0.512783497127293,0.537329378205321,152002,"RN",0.888888888888889
"342",873,0.409509886036462,0.333649656974516,152002,"RN",0.555555555555556
